epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.29907,2.90777,4.2959,1.92005,0.00262,0.1494,0.00796,0.00286,2.33594,3.81913,1.70826,7.145e-05,7.145e-05,7.145e-05
2,4.59162,2.56673,4.24554,1.7491,0.00468,0.26071,0.01144,0.00549,2.12307,3.80077,1.5881,0.000155634,0.000155634,0.000155634
3,7.61157,2.42519,4.00549,1.65993,0.00522,0.28512,0.02587,0.01448,1.96886,3.73555,1.46091,0.00023812,0.00023812,0.00023812
4,9.96934,2.12834,3.55582,1.49781,0.00776,0.41845,0.08266,0.04846,1.78391,3.60882,1.30022,0.000318909,0.000318909,0.000318909
5,11.9528,2.11098,3.28781,1.31159,0.01017,0.57738,0.07573,0.04064,1.78119,3.51522,1.28371,0.000397999,0.000397999,0.000397999
6,12.9826,2.05571,2.9341,1.32173,0.01104,0.62619,0.10358,0.05402,1.75981,3.33103,1.25185,0.000475393,0.000475393,0.000475393
7,14.4644,2.03887,2.76593,1.35392,0.01296,0.72143,0.21106,0.10011,1.67005,3.15449,1.2542,0.000551088,0.000551088,0.000551088
8,15.7337,1.83822,2.53647,1.22563,0.01296,0.72143,0.21106,0.10011,1.67005,3.15449,1.2542,0.000625086,0.000625086,0.000625086
9,16.98,1.79062,2.68736,1.27528,0.42411,0.24762,0.28845,0.15361,1.66573,2.92421,1.22106,0.000697386,0.000697386,0.000697386
10,18.3125,1.94862,3.5431,1.49865,0.33779,0.1,0.30189,0.16453,1.61522,2.79267,1.19176,0.000767989,0.000767989,0.000767989
11,19.4543,1.74669,2.64231,1.2981,0.33779,0.1,0.30189,0.16453,1.61522,2.79267,1.19176,0.000836894,0.000836894,0.000836894
12,21.5945,1.89994,2.75018,1.29638,0.47242,0.24524,0.35774,0.19251,1.59383,2.58877,1.17575,0.000904101,0.000904101,0.000904101
13,23.5169,1.77022,2.61208,1.22789,0.47242,0.24524,0.35774,0.19251,1.59383,2.58877,1.17575,0.000969611,0.000969611,0.000969611
14,25.0879,1.79803,2.58751,1.36748,0.47242,0.24524,0.35774,0.19251,1.59383,2.58877,1.17575,0.00103342,0.00103342,0.00103342
15,26.361,1.74203,2.32015,1.1674,0.438,0.14583,0.24201,0.11258,1.83436,2.75767,1.37988,0.00109554,0.00109554,0.00109554
16,27.4166,1.66219,2.30794,1.20124,0.438,0.14583,0.24201,0.11258,1.83436,2.75767,1.37988,0.00115595,0.00115595,0.00115595
17,28.7535,1.73896,2.39487,1.17964,0.39936,0.24464,0.25865,0.13284,1.75404,2.60261,1.30736,0.00120265,0.00120265,0.00120265
18,29.9547,1.7276,2.62287,1.23624,0.39936,0.24464,0.25865,0.13284,1.75404,2.60261,1.30736,0.0011885,0.0011885,0.0011885
19,31.1437,1.55918,2.61555,1.18693,0.39936,0.24464,0.25865,0.13284,1.75404,2.60261,1.30736,0.00117435,0.00117435,0.00117435
20,32.2542,1.56142,2.41306,1.1985,0.30526,0.37546,0.28206,0.13111,1.77115,2.54049,1.34771,0.00116021,0.00116021,0.00116021
21,33.5318,1.62997,2.20896,1.14038,0.30526,0.37546,0.28206,0.13111,1.77115,2.54049,1.34771,0.00114606,0.00114606,0.00114606
22,34.9508,1.67728,2.35852,1.17806,0.30526,0.37546,0.28206,0.13111,1.77115,2.54049,1.34771,0.00113191,0.00113191,0.00113191
23,37.0798,1.63815,2.28338,1.14326,0.40204,0.37976,0.34696,0.16766,1.60189,2.17652,1.23674,0.00111776,0.00111776,0.00111776
24,39.1974,1.41486,2.25563,1.15512,0.40204,0.37976,0.34696,0.16766,1.60189,2.17652,1.23674,0.00110362,0.00110362,0.00110362
